=========================================
SCOS 2.0 DEDUPLICATED PRODUCT CATALOG PREVIEW
=========================================
Source file: C:\Users\User\Downloads\SKU MRPs as of 19th May.xlsx
Total Unique Product Variants: 1178
=========================================

CATEGORY: Bedding
------------------------------------------------------------
  SKU: SC-AURORAMUSLN-S-85X59           | Line: bedshee      | ASIN: B09XLTHD35   | FK SKU: SC-F-AURORAMUSLN-S-59x85 | FSN: None               | MRP: 2999.0   | Name: Muslin Throws
  SKU: SC-BCRDVTCOVER-D-90x100          | Line: bedshee      | ASIN: B0BMQ5BMTF   | FK SKU: SC-F-BCRDVTCOVER-D-90x100 | FSN: None               | MRP: 2789.0   | Name: Duvet Cover
  SKU: SC-BCRFTDSHEET-K-72x72           | Line: bedshee      | ASIN: B0BQBQX4L6   | FK SKU: SC-F-BCRFTDSHEET-K-72x72 | FSN: None               | MRP: 2189.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-BCRFTDSHEET-Q-72x60           | Line: bedshee      | ASIN: B0BQBS4N9J   | FK SKU: SC-F-BCRFTDSHEET-Q-72x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-BCRFTDSHEET-Q-78x60           | Line: bedshee      | ASIN: B0BF4XTB74   | FK SKU: SC-F-BCRFTDSHEET-Q-78x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-BSBGTHR-S-49X59               | Line: bedshee      | ASIN: B0B3S2KKWB   | FK SKU: SC-F-BSBGTHR-S-49X59     | FSN: None               | MRP: 2889.0   | Name: Knitted Throw
  SKU: SC-BWJRDVTCVR-D-90X100           | Line: bedshee      | ASIN: B0D1KP91QR   | FK SKU: SC-F-BWJRDVTCVR-D-90X100 | FSN: None               | MRP: 2989.0   | Name: Duvet Cover
  SKU: SC-BWJRDVTCVR-S-90X60            | Line: bedshee      | ASIN: B0D1KQQWRK   | FK SKU: SC-F-BWJRDVTCVR-S-90X60  | FSN: None               | MRP: 2089.0   | Name: Duvet Cover
  SKU: SC-BWJRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CZLKVPFP   | FK SKU: SC-F-BWJRFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0CTTH6KD5   | FK SKU: SC-F-BWJRFTDSHEET-K-72x72 | FSN: BDSGYAGECZ6EZCV9   | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0CZLKY9CX   | FK SKU: SC-F-BWJRFTDSHEET-K-75x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0CTTR3ZNT   | FK SKU: SC-F-BWJRFTDSHEET-K-78x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0CTTKTH24   | FK SKU: SC-F-BWJRFTDSHEET-Q-72x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CZLLK187   | FK SKU: SC-F-BWJRFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0CTTS6P7K   | FK SKU: SC-F-BWJRFTDSHEET-Q-78x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-BWJRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CZLL24FV   | FK SKU: SC-F-BWJRFTDSHEET-S-72x36 | FSN: None               | MRP: 1389.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-DGRDVTCOVER-D-90x100          | Line: bedshee      | ASIN: B0BMPJ95X7   | FK SKU: SC-DGRDVTCOVER-D-90x100  | FSN: None               | MRP: 2789.0   | Name: Cotton Duvet cover
  SKU: SC-DGRDVTCOVER-S-90x60           | Line: bedshee      | ASIN: B0CW9S9W8F   | FK SKU: SC-F-DGRDVTCOVER-S-90x60 | FSN: DCVGYGC78RDYC6QD   | MRP: 2089.0   | Name: Cotton Duvet cover
  SKU: SC-DGRFTDSHEET-D-72x48           | Line: bedshee      | ASIN: B0CWD2H1KB   | FK SKU: SC-F-DGRFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-K-72x72           | Line: bedshee      | ASIN: B0BQBQK9CG   | FK SKU: SC-F-DGRFTDSHEET-K-72x72 | FSN: BDSHMGFMBQECYTNR   | MRP: 2189.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-K-78x72           | Line: bedshee      | ASIN: B0BF4ZF9PC   | FK SKU: SC-F-DGRFTDSHEET-K-78x72 | FSN: BDSGG44UX3HDWXJE   | MRP: 2189.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-Q-72x60           | Line: bedshee      | ASIN: B0BQBPT4SP   | FK SKU: SC-F-DGRFTDSHEET-Q-72x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-Q-75x60           | Line: bedshee      | ASIN: B0CWDJGM41   | FK SKU: SC-F-DGRFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-Q-78x60           | Line: bedshee      | ASIN: B0BF4Z4W1F   | FK SKU: SC-F-DGRFTDSHEET-Q-78x60 | FSN: BDSGG44U4JTFXHKK   | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-DGRFTDSHEET-S-72x36           | Line: bedshee      | ASIN: B0CWD26BQM   | FK SKU: SC-F-DGRFTDSHEET-S-72x36 | FSN: None               | MRP: 1389.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0GQSS1QDN   | FK SKU: SC-FK-EVGRFTDSHEET-D-72x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-D-75x48          | Line: bedshee      | ASIN: B0GQSWH7CJ   | FK SKU: SC-FK-EVGRFTDSHEET-D-75x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-D-78x48          | Line: bedshee      | ASIN: B0GQSNJNVK   | FK SKU: SC-FK-EVGRFTDSHEET-D-78x48 | FSN: None               | MRP: 1989.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0GQT25RYH   | FK SKU: SC-FK-EVGRFTDSHEET-S-72x36 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0GQSQYPDV   | FK SKU: SC-FK-EVGRFTDSHEET-K-75x72 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0GQSSHHJQ   | FK SKU: SC-FK-EVGRFTDSHEET-Q-72x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0GQSVL6PW   | FK SKU: SC-FK-EVGRFTDSHEET-Q-75x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0GQT43VPL   | FK SKU: SC-FK-EVGRFTDSHEET-Q-78x60 | FSN: None               | MRP: 2289.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0GQT3ZZFF   | FK SKU: SC-FK-EVGRFTDSHEET-S-72x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-75x36          | Line: bedshee      | ASIN: B0GQT8SDG8   | FK SKU: SC-FK-EVGRFTDSHEET-S-75x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRFTDSHEET-S-78x36          | Line: bedshee      | ASIN: B0GQT1ZXHB   | FK SKU: SC-FK-EVGRFTDSHEET-S-78x36 | FSN: None               | MRP: 1589.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-EVGRTFTDSHEET-K-78x72         | Line: bedshee      | ASIN: B0GQSZNJ69   | FK SKU: SC-FK-EVGRTFTDSHEET-K-78x72 | FSN: None               | MRP: 2489.0   | Name: Cotton Fitted Bedsheet
  SKU: SC-F-SLSTPILWCS-C-52x20          | Line: bedshee      | ASIN: None         | FK SKU: SC-F-SLSTPILWCS-C-52x20  | FSN: None               | MRP: None     | Name: SoftTouch Sleep Pillow Case 52x20
  SKU: SC-MAZEMUSLN-S-85X59             | Line: bedshee      | ASIN: B09XLS3TTP   | FK SKU: SC-F-MAZEMUSLN-S-59x85   | FSN: BLAGDJ4FQAXDSYDD   | MRP: 2999.0   | Name: Muslin Throws
  SKU: SC-MBJRDVTCVR-D-90x100           | Line: bedshee      | ASIN: B0D1KQMQ3Y   | FK SKU: SC-F-MBJRDVTCVR-D-90x100 | FSN: None               | MRP: 2989.0   | Name: Duvet Cover
  SKU: SC-MBJRDVTCVR-S-90x60            | Line: bedshee      | ASIN: B0D1KR8LBY   | FK SKU: SC-F-MBJRDVTCVR-S-90x60  | FSN: None               | MRP: 2089.0   | Name: Duvet Cover
  SKU: SC-MBJRFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0CZLJSYJQ   | FK SKU: SC-F-MBJRFTDSHEET-D-72x48 | FSN: None               | MRP: 1889.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0CTTR2MF6   | FK SKU: SC-F-MBJRFTDSHEET-K-72x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0CZLKFR52   | FK SKU: SC-F-MBJRFTDSHEET-K-75x72 | FSN: None               | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0CTTKFFPL   | FK SKU: SC-F-MBJRFTDSHEET-K-78x72 | FSN: BDSGYAGSM8ZZRQW6   | MRP: 2189.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0CTTLN7Y7   | FK SKU: SC-F-MBJRFTDSHEET-Q-72x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0CZLKX7TF   | FK SKU: SC-F-MBJRFTDSHEET-Q-75x60 | FSN: None               | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0CTTMM1S1   | FK SKU: SC-F-MBJRFTDSHEET-Q-78x60 | FSN: BDSGYFNXGQF4WKR2   | MRP: 1989.0   | Name: Jersey Fitted Bed sheet
  SKU: SC-MBJRFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0CZLL57NF   | FK SKU: SC-F-MBJRFTDSHEET-S-72x36 | FSN: None               | MRP: 1389.0   | Name: Jersey Fitted Bed sheet
